obligacion	objeto	estado	resultado_y_limite	evidencia
EIO-P-01	Identidades	PARCIAL	Cuatro paquetes Rust y lock conformes; modelo/tokenizador no adquiridos	JOB_105981800036.txt
EIO-P-02	Construcción	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-03	Carga modelo	BLOQUEADO	HTTP302 seguido de DESTINO_NO_ADMITIDO	JOB_105981800036.txt
EIO-P-04	Paradas generador	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-05	Límites tokens	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-06	Estructura	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-07	Permisos	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-08	Correlación	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-09	Pérdida/exportación	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-10	Supervisor	PARCIAL	17 muestras; retorno65 propagado; residuos0 del grupo; no cancelación de inferencia	JOB_105981800036.txt
EIO-P-11	Coste observación	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-12	Plataformas	NO_EJECUTADO	Std WASM instalado; sin construcción ni navegador	JOB_105981800036.txt
EIO-P-13	Dependencias/condiciones/veto	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-14	Referencias/versiones	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
EIO-P-15	Instrucción incrustada	NO_EJECUTADO	Secuencia detenida antes de compilación/banco/inferencia	JOB_105981800036.txt
