ID,Bloque,Criterio,Canal_de_verificacion,Estado,Clase,Observacion,Accion
A01,Repositorio,Arbol material legible,inspeccion de la version material auditada del repositorio,VERIFICADO,HECHO,"Raiz con docs, laboratorio, scripts, src y tests",NINGUNA
A02,Repositorio,Estructura publica veraz,inspeccion de la version material auditada del repositorio,VERIFICADO,HECHO,"No se presenta como motor completo",NINGUNA
A03,Gobierno,Dependencias superiores declaradas,README y docs gobierno,VERIFICADO,HECHO,"Dependencias y prevalencia explicitadas",NINGUNA
A04,Gobierno,Alcance y no-alcance sobrios,docs gobierno,VERIFICADO,HECHO,"No backend, no IR nueva, no motor completo",NINGUNA
A05,Paquete,Instalacion local correcta,instalacion editable,VERIFICADO,HECHO,"Instalacion ejecutada sin fallo",NINGUNA
A06,Paquete,Suite de pruebas en verde,pytest / CI local,VERIFICADO,HECHO,"35 pruebas superadas",NINGUNA
A07,Paquete,Estructura del paquete real,inspeccion src y tests,VERIFICADO,HECHO,"Paquete `sv_motor` materializado",NINGUNA
A08,Laboratorio,Laboratorio minimo existente,inspeccion laboratorio,VERIFICADO,HECHO,"Etapa 1 con README, pseudocodigo, script y JSON",NINGUNA
A09,Laboratorio,Laboratorio ejecutable,script y salida material,VERIFICADO,HECHO,"`run_local_checks.sh` ejecuta laboratorio y dictamen APTO",NINGUNA
A10,Laboratorio,Conservacion de U,salida y analisis,VERIFICADO,HECHO,"El analisis declara preservacion explicita de U",NINGUNA
A11,Calidad,Registros minimos poblados,docs/calidad,VERIFICADO,HECHO,"Existen registros, matrices, deuda viva y procedimiento",NINGUNA
A12,Calidad,Deuda viva explicita,docs/calidad,VERIFICADO,HECHO,"La deuda viva figura y es coherente con el alcance actual",NINGUNA
A13,Sincronizacion,Contraste con Pliego,lectura material,VERIFICADO,HECHO,"Sin conflicto detectado; el repositorio se mantiene subordinado",MANTENER
A14,Sincronizacion,Contraste con FT-SV-IA/001,lectura material,VERIFICADO,HECHO,"Sin conflicto detectado; la frontera externa no se trata como motor",MANTENER
A15,Sincronizacion,Contraste con seguridad estructural,lectura material,VERIFICADO,HECHO,"Sin backend clandestino ni semantica implicita detectados",SINCRONIZAR_ANTES_DE_FASE_SIGUIENTE
A16,Sincronizacion,Contraste con NLP vigente,lectura material,VERIFICADO,HECHO,"No sobreactua la madurez del frente NLP",SINCRONIZAR_ANTES_DE_FASE_SIGUIENTE
A17,Publicacion,No sobreactua el estado del motor,README y docs,VERIFICADO,HECHO,"README y gobierno limitan el alcance",NINGUNA
A18,Publicacion,Puede leerse por terceros,documentos y laboratorio,VERIFICADO,HECHO,"La sede ya es legible por terceros con soporte minimo",MEJORAR_CON_DEMOSTRACION_END_TO_END
A19,Adversarial,Riesgo de backend clandestino,inspeccion tecnica,ABIERTO,U,"No detectado hoy, pero debe vigilarse en la fase siguiente",PARAR_SI_APARECE
A20,Adversarial,Riesgo de deriva semantica,lectura cruzada,ABIERTO,U,"No detectado hoy, pero la fase siguiente debe resincronizar con piezas superiores",SINCRONIZAR_ANTES_DE_FASE_SIGUIENTE
