obligacion	resultado	evidencia	limite
EIO-P-01	no comprobable	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-02	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-03	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-04	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-05	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-06	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-07	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-08	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-09	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-10	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-11	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-12	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-13	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-14	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
EIO-P-15	no ejecutado	INFORME.md; COMPONENTES.json	Bloqueo previo; sin construcción ni inferencia
